date,time,province,engine_size,accident_count,age_group,severity
22/12/2017,3:59:59,Chiang-Mai, 111cc - 125cc,62.50%,14-Jan,Dead
20/01/2017,1:58:44,Chiang-Mai, 126cc - 150cc,0.00%,14-Jan,Dead
6/12/2017,13:25:23,Chiang-Mai, 400cc - 1000cc,12.50%,14-Jan,Dead
12/11/2017,17:30:06,Chiang-Mai,less-than-110cc,12.50%,14-Jan,Dead
23/07/2017,10:50:50,Bangkok, 111cc - 125cc,64.29%,14-Jan,Dead
25/07/2017,0:35:12,Bangkok, 126cc - 150cc,0.00%,14-Jan,Dead
24/08/2017,22:06:08,Bangkok, 400cc - 1000cc,0.00%,14-Jan,Dead
14/12/2017,9:56:34,Bangkok,less-than-110cc,7.14%,14-Jan,Dead
22/01/2017,10:25:34,Kanchanaburi, 111cc - 125cc,77.78%,14-Jan,Dead
10/10/2017,16:13:35,Kanchanaburi, 126cc - 150cc,0.00%,14-Jan,Dead
16/10/2017,0:43:55,Kanchanaburi, 400cc - 1000cc,0.00%,14-Jan,Dead
8/12/2017,10:27:37,Kanchanaburi,less-than-110cc,22.22%,14-Jan,Dead
7/2/2017,23:21:16,Chonburi, 111cc - 125cc,41.67%,14-Jan,Dead
23/12/2017,8:39:16,Chonburi, 126cc - 150cc,8.33%,14-Jan,Dead
24/11/2017,6:27:36,Chonburi, 156cc - 300cc,0.00%,14-Jan,Dead
2/11/2017,11:12:12,Chonburi,less-than-110cc,16.67%,14-Jan,Dead
9/8/2017,22:53:17,Chonburi,more-than-1000cc,0.00%,14-Jan,Dead
25/12/2017,6:07:34,Nakhon-Ratchasima,more-than-1000cc,55.56%,14-Jan,Dead
2/11/2017,23:03:38,Nakhon-Ratchasima, 126cc - 150cc,5.56%,14-Jan,Dead
24/02/2017,18:46:32,Nakhon-Ratchasima,less-than-110cc,27.78%,14-Jan,Dead
12/12/2017,17:31:37,Surat-Thani, 111cc - 125cc,84.62%,14-Jan,Dead
6/10/2017,13:06:40,Surat-Thani, 126cc - 150cc,0.00%,14-Jan,Dead
29/04/2017,7:50:43,Surat-Thani,less-than-110cc,7.69%,14-Jan,Dead
16/03/2017,19:39:43,Chiang-Mai, 111cc - 125cc,54.52%,14-Jan,Injury
6/9/2017,20:53:09,Chiang-Mai, 126cc - 150cc,2.80%,14-Jan,Injury
12/3/2017,20:24:00,Chiang-Mai, 156cc - 300cc,0.00%,14-Jan,Injury
21/08/2017,20:19:30,Chiang-Mai, 400cc - 1000cc,0.38%,14-Jan,Injury
5/1/2017,7:26:31,Chiang-Mai,less-than-110cc,37.32%,14-Jan,Injury
28/03/2017,21:19:29,Bangkok, 111cc - 125cc,61.14%,14-Jan,Injury
23/07/2017,21:32:34,Bangkok, 126cc - 150cc,7.81%,14-Jan,Injury
15/12/2017,19:46:31,Bangkok, 156cc - 300cc,0.39%,14-Jan,Injury
6/11/2017,0:04:21,Bangkok, 400cc - 1000cc,0.13%,14-Jan,Injury
19/02/2017,11:10:29,Bangkok,less-than-110cc,17.18%,14-Jan,Injury
19/06/2017,5:21:46,Bangkok,more-than-1000cc,0.00%,14-Jan,Injury
1/5/2017,11:37:50,Kanchanaburi, 111cc - 125cc,56.17%,14-Jan,Injury
8/5/2017,7:20:38,Kanchanaburi, 126cc - 150cc,0.24%,14-Jan,Injury
14/11/2017,15:07:34,Kanchanaburi, 156cc - 300cc,0.00%,14-Jan,Injury
14/03/2017,21:37:09,Kanchanaburi, 400cc - 1000cc,0.00%,14-Jan,Injury
18/09/2017,0:35:45,Kanchanaburi,less-than-110cc,41.16%,14-Jan,Injury
13/02/2017,8:07:49,Chonburi, 111cc - 125cc,61.01%,14-Jan,Injury
8/1/2017,2:48:03,Chonburi, 126cc - 150cc,1.81%,14-Jan,Injury
11/10/2017,5:41:50,Chonburi, 156cc - 300cc,0.13%,14-Jan,Injury
6/2/2017,17:01:13,Chonburi, 400cc - 1000cc,0.13%,14-Jan,Injury
12/9/2017,14:33:00,Chonburi,less-than-110cc,23.32%,14-Jan,Injury
29/05/2017,8:26:27,Chonburi,more-than-1000cc,0.00%,14-Jan,Injury
12/6/2017,4:59:31,Nakhon-Ratchasima, 111cc - 125cc,54.44%,14-Jan,Injury
16/05/2017,14:49:30,Nakhon-Ratchasima, 126cc - 150cc,1.17%,14-Jan,Injury
26/07/2017,4:43:23,Nakhon-Ratchasima, 156cc - 300cc,0.16%,14-Jan,Injury
24/08/2017,13:13:44,Nakhon-Ratchasima, 400cc - 1000cc,0.00%,14-Jan,Injury
26/11/2017,13:24:13,Nakhon-Ratchasima,less-than-110cc,38.08%,14-Jan,Injury
16/09/2017,14:13:18,Surat-Thani, 111cc - 125cc,70.49%,14-Jan,Injury
30/04/2017,6:25:41,Surat-Thani, 126cc - 150cc,0.82%,14-Jan,Injury
9/2/2017,15:42:10,Surat-Thani, 156cc - 300cc,0.00%,14-Jan,Injury
17/01/2017,22:04:51,Surat-Thani, 400cc - 1000cc,0.20%,14-Jan,Injury
30/05/2017,15:13:05,Surat-Thani,less-than-110cc,20.49%,14-Jan,Injury
13/09/2017,7:47:10,Surat-Thani,more-than-1000cc,0.00%,14-Jan,Injury
14/12/2017,19:25:12,Chiang-Mai, 111cc - 125cc,73.08%,15-19,Dead
12/10/2017,10:38:46,Chiang-Mai, 126cc - 150cc,0.00%,15-19,Dead
12/8/2017,8:29:51,Chiang-Mai, 156cc - 300cc,3.85%,15-19,Dead
16/04/2017,5:23:59,Chiang-Mai, 400cc - 1000cc,0.00%,15-19,Dead
2/10/2017,14:09:38,Chiang-Mai,less-than-110cc,23.08%,15-19,Dead
28/12/2017,2:16:34,Bangkok, 111cc - 125cc,73.85%,15-19,Dead
1/10/2017,22:49:52,Bangkok, 126cc - 150cc,10.77%,15-19,Dead
25/03/2017,10:19:27,Bangkok, 156cc - 300cc,0.00%,15-19,Dead
13/12/2017,18:49:05,Bangkok, 400cc - 1000cc,0.00%,15-19,Dead
11/4/2017,3:11:27,Bangkok,less-than-110cc,12.31%,15-19,Dead
9/2/2017,5:33:02,Kanchanaburi, 111cc - 125cc,76.67%,15-19,Dead
23/12/2017,20:05:37,Kanchanaburi, 126cc - 150cc,3.33%,15-19,Dead
8/4/2017,5:22:52,Kanchanaburi,less-than-110cc,20.00%,15-19,Dead
24/01/2017,16:04:55,Chonburi, 111cc - 125cc,64.52%,15-19,Dead
24/01/2017,12:33:51,Chonburi, 126cc - 150cc,6.45%,15-19,Dead
25/10/2017,18:00:07,Chonburi, 400cc - 1000cc,0.00%,15-19,Dead
14/03/2017,15:31:55,Chonburi,less-than-110cc,9.68%,15-19,Dead
19/11/2017,6:34:59,Nakhon-Ratchasima, 111cc - 125cc,67.27%,15-19,Dead
2/11/2017,12:37:35,Nakhon-Ratchasima, 126cc - 150cc,7.27%,15-19,Dead
10/9/2017,10:04:27,Nakhon-Ratchasima, 156cc - 300cc,0.00%,15-19,Dead
6/10/2017,15:16:48,Nakhon-Ratchasima,less-than-110cc,20.00%,15-19,Dead
4/12/2017,14:28:06,Surat-Thani, 111cc - 125cc,80.77%,15-19,Dead
10/7/2017,0:29:51,Surat-Thani,less-than-110cc,11.54%,15-19,Dead
25/08/2017,9:39:46,Chiang-Mai, 111cc - 125cc,59.13%,15-19,Injury
13/02/2017,21:58:12,Chiang-Mai, 126cc - 150cc,6.62%,15-19,Injury
8/1/2017,7:10:27,Chiang-Mai, 156cc - 300cc,0.32%,15-19,Injury
19/05/2017,0:03:48,Chiang-Mai, 400cc - 1000cc,0.11%,15-19,Injury
28/09/2017,8:02:20,Chiang-Mai,less-than-110cc,28.00%,15-19,Injury
1/8/2017,5:03:35,Bangkok, 111cc - 125cc,65.88%,15-19,Injury
22/06/2017,17:51:48,Bangkok, 126cc - 150cc,12.52%,15-19,Injury
2/9/2017,4:43:40,Bangkok, 156cc - 300cc,0.51%,15-19,Injury
3/1/2017,13:21:06,Bangkok, 400cc - 1000cc,0.21%,15-19,Injury
19/01/2017,5:47:11,Bangkok,less-than-110cc,12.13%,15-19,Injury
25/06/2017,0:25:18,Bangkok,more-than-1000cc,0.02%,15-19,Injury
28/05/2017,1:23:02,Kanchanaburi, 111cc - 125cc,62.46%,15-19,Injury
10/1/2017,7:53:01,Kanchanaburi, 126cc - 150cc,2.40%,15-19,Injury
9/7/2017,13:53:54,Kanchanaburi, 400cc - 1000cc,0.16%,15-19,Injury
14/06/2017,14:42:45,Kanchanaburi,less-than-110cc,33.55%,15-19,Injury
3/9/2017,17:20:43,Chonburi, 111cc - 125cc,60.48%,15-19,Injury
19/05/2017,8:14:25,Chonburi, 126cc - 150cc,4.89%,15-19,Injury
26/04/2017,14:28:42,Chonburi, 156cc - 300cc,0.46%,15-19,Injury
30/07/2017,14:39:08,Chonburi, 400cc - 1000cc,0.20%,15-19,Injury
21/01/2017,13:19:43,Chonburi,less-than-110cc,18.44%,15-19,Injury
14/02/2017,22:31:56,Chonburi,more-than-1000cc,0.00%,15-19,Injury
2/9/2017,22:21:43,Nakhon-Ratchasima, 111cc - 125cc,61.44%,15-19,Injury
4/8/2017,3:09:12,Nakhon-Ratchasima, 126cc - 150cc,3.31%,15-19,Injury
4/6/2017,5:22:37,Nakhon-Ratchasima, 156cc - 300cc,0.19%,15-19,Injury
14/09/2017,22:21:01,Nakhon-Ratchasima, 400cc - 1000cc,0.00%,15-19,Injury
21/04/2017,16:39:43,Nakhon-Ratchasima,less-than-110cc,30.06%,15-19,Injury
26/04/2017,3:07:09,Surat-Thani, 111cc - 125cc,65.47%,15-19,Injury
