year,province,month,age_group,dead_people,injury_people
2021,Bangkok,January,1-14,0,120
2021,Bangkok,January,15-18,2,290
2021,Bangkok,January,19-24,10,952
2021,Bangkok,January,25-35,24,1482
2021,Bangkok,January,36-60,27,1547
2021,Bangkok,January,60++,3,241
2021,Bangkok,February,1-14,0,177
2021,Bangkok,February,15-18,3,358
2021,Bangkok,February,19-24,6,940
2021,Bangkok,February,25-35,17,1445
2021,Bangkok,February,36-60,22,1639
2021,Bangkok,February,60++,9,232
2021,Bangkok,March,1-14,2,227
2021,Bangkok,March,15-18,5,397
2021,Bangkok,March,19-24,13,1117
2021,Bangkok,March,25-35,23,1677
2021,Bangkok,March,36-60,27,1769
2021,Bangkok,March,60++,9,265
2021,Bangkok,April,1-14,0,109
2021,Bangkok,April,15-18,3,279
2021,Bangkok,April,19-24,9,807
2021,Bangkok,April,25-35,16,1244
2021,Bangkok,April,36-60,18,1284
2021,Bangkok,April,60++,7,205
2021,Bangkok,May,1-14,0,101
2021,Bangkok,May,15-18,4,260
2021,Bangkok,May,19-24,10,760
2021,Bangkok,May,25-35,14,1195
2021,Bangkok,May,36-60,19,1253
2021,Bangkok,May,60++,4,200
2021,Bangkok,June,1-14,3,116
2021,Bangkok,June,15-18,3,279
2021,Bangkok,June,19-24,8,839
2021,Bangkok,June,25-35,21,1209
2021,Bangkok,June,36-60,23,1324
2021,Bangkok,June,60++,5,189
2021,Bangkok,July,1-14,0,81
2021,Bangkok,July,15-18,0,197
2021,Bangkok,July,19-24,5,723
2021,Bangkok,July,25-35,12,1032
2021,Bangkok,July,36-60,10,1041
2021,Bangkok,July,60++,7,166
2021,Bangkok,August,1-14,0,73
2021,Bangkok,August,15-18,3,170
2021,Bangkok,August,19-24,8,626
2021,Bangkok,August,25-35,12,983
2021,Bangkok,August,36-60,17,1029
2021,Bangkok,August,60++,5,125
2021,Bangkok,September,1-14,0,75
2021,Bangkok,September,15-18,2,263
2021,Bangkok,September,19-24,9,764
2021,Bangkok,September,25-35,13,1075
2021,Bangkok,September,36-60,17,1203
2021,Bangkok,September,60++,8,181
2021,Bangkok,October,1-14,3,105
2021,Bangkok,October,15-18,6,331
2021,Bangkok,October,19-24,11,902
2021,Bangkok,October,25-35,20,1251
2021,Bangkok,October,36-60,22,1343
2021,Bangkok,October,60++,3,203
2021,Bangkok,November,1-14,1,174
2021,Bangkok,November,15-18,7,393
2021,Bangkok,November,19-24,5,973
2021,Bangkok,November,25-35,20,1485
2021,Bangkok,November,36-60,29,1541
2021,Bangkok,November,60++,7,267
2021,Bangkok,December,1-14,3,190
2021,Bangkok,December,15-18,4,391
2021,Bangkok,December,19-24,14,1166
2021,Bangkok,December,25-35,30,1678
2021,Bangkok,December,36-60,30,1764
2021,Bangkok,December,60++,4,246
2021,Kanchanaburi,January,1-14,1,72
2021,Kanchanaburi,January,15-18,0,79
2021,Kanchanaburi,January,19-24,0,105
